id,nome,cognome,nome_cognomeP1,nome_cognomeP2,id_conto_P1,id_conto_P2,tel,email,indirizzo,quote,professione,id_societa1,id_societa2,nome_societa,paese,citta,id_credito_banca,tipo_tessera,data_apertura,data_transazione,importo
41,Ranna,Ferrant,Ranna Ferrant,Abbey Chadderton,3540315827959704,5641825051827285109,(336) 9551132,dbetho14@mac.com,236 Golf Course Place,36.4,Occupational Therapist,60710,74341,Oyoyo,ID,Gowa,30477168229726,diners-club-carte-blanche,24/03/1993,22/07/2010,"€64058,06"
42,Clayton,Idiens,Clayton Idiens,Katharyn Linskill,3575381471210347,3553147138413780,(530) 5444783,gkrysztofiak15@e-recht24.de,39 Victoria Road,2.0,Electrical Engineer,31011,12057,Buzzdog,PT,Praia de Mira,4844988795061884,visa-electron,07/02/1994,16/05/2023,"€48209,22"
43,Bernita,Danko,Bernita Danko,Adrien Picott,3552018035214061,4905284130373614427,(610) 5226178,mpresshaugh16@mozilla.org,7 Meadow Vale Junction,36.5,Nurse,17575,91702,Flipbug,US,Reading,3540046017678008,jcb,12/10/1998,09/11/2024,"€48807,84"
44,Jobie,Geeraert,Jobie Geeraert,Clayton Idiens,3530966139488089,3575381471210347,(675) 3915377,walves17@feedburner.com,71 Surrey Crossing,40.7,Nuclear Power Engineer,25511,31011,Flashset,RU,Belyye Stolby,3530984857817165,jcb,20/02/1990,09/12/2039,"€65314,60"
45,Manon,Rofe,Manon Rofe,Hurley Debill,3550725101974418,6331107062193610,(114) 8368817,nbellay18@w3.org,5768 Stone Corner Trail,44.7,Senior Sales Associate,00612,62705,Aimbu,ID,Karangampel,503874598549353950,maestro,06/06/1993,24/05/2044,"€61453,42"
46,Roxane,McGonagle,Roxane McGonagle,Aurthur Arsey,4026773294084706,56022177822965085,(791) 8206303,gnorthcote19@newsvine.com,9 Green Ridge Alley,32.2,Web Developer II,17969,41749,Blogpad,TH,Pak Phanang,3576847057666689,jcb,29/01/1998,12/05/2013,"€22739,41"
47,Kitti,Eliesco,Kitti Eliesco,Edd Tassell,4041379965258503,3539830591108976,(573) 5666744,aantrum1a@washingtonpost.com,5363 Parkside Street,29.0,Teacher,63761,23454,Feedfish,PT,Covas,374283812166247,americanexpress,30/08/1991,08/12/2047,"€91785,86"
48,Ethelind,Wybron,Ethelind Wybron,Sibby Dearlove,5602216674784221,30097456404680,(334) 7220299,edunkley1b@prlog.org,52 Longview Junction,44.0,Programmer Analyst II,93545,73016,Yotz,HR,Belica,3570743934502880,jcb,29/11/1998,22/06/2039,"€84384,63"
49,Dominick,Condon,Dominick Condon,Les Rodders,589320860036838854,3547600677966740,(991) 7401669,fortell1c@prnewswire.com,69 2nd Trail,41.1,Design Engineer,34804,54519,Babbleopia,JP,Nichinan,3558858725363262,jcb,10/03/1994,12/05/2010,"€51246,93"
50,Leone,Tilling,Leone Tilling,Innis Lofting,3574764998553797,3549238301948327,(208) 3123086,wshepherdson1d@apple.com,64 Derek Alley,43.3,Systems Administrator II,80911,09276,Voonte,CN,Naji,3549721256798672,jcb,11/03/1998,24/11/2045,"€93389,44"
51,Noell,Dutton,Noell Dutton,Innis Lofting,374283042606830,3549238301948327,(422) 7148944,jfellnee1e@seesaa.net,9048 Elka Court,44.5,General Manager,34683,09276,Tagtune,ID,Peukanbada,5610845960992243894,china-unionpay,02/06/1997,11/12/2014,"€41588,98"
52,Johann,Roly,Johann Roly,Harli Haggidon,3583052706273018,5602240483376763,(425) 3878859,gshackle1f@opera.com,540 Calypso Place,34.6,Environmental Specialist,33673,19838,Brainbox,FR,Limeil-Brévannes,6761527060597240,maestro,11/01/1992,12/07/2002,"€73528,13"
53,Rab,Faulconer,Rab Faulconer,Ardis Fuzzens,4724318333227,3559358869021890,(947) 6372705,rbirtley1g@china.com.cn,23 Rowland Junction,41.2,Geologist I,22131,73658,Skajo,ID,Ngandangan,5010121205520233,mastercard,05/05/1993,31/07/2034,"€27833,38"
54,Erna,Bechley,Erna Bechley,Florencia Smallpiece,67098109037531275,3556237449712322,(588) 6760511,bgayne1h@alexa.com,16 Arapahoe Trail,21.2,Account Representative I,63697,64001,Skiba,TH,Khlong Luang,677133314556405686,laser,01/12/1994,03/03/2011,"€81218,72"
55,Pyotr,Kyston,Pyotr Kyston,Grover Banham,5893777534537654008,3532949449887552,(666) 3969405,hwiltshear1i@lulu.com,17 Laurel Center,46.7,Geological Engineer,69684,23323,Browsetype,CN,Mingyue,3557265129092714,jcb,31/03/1998,05/08/2022,"€53758,09"
56,See,Lennon,See Lennon,Normie Passe,633110076794901160,3558167265721081,(341) 6281484,mgoudman1j@princeton.edu,39 Aberg Trail,48.0,Information Systems Manager,51969,40643,Buzzster,CZ,Černošice,3549854356468746,jcb,03/04/1991,11/06/2003,"€91457,16"
57,Dominick,Condon,Dominick Condon,Jobie Geeraert,589320860036838854,3530966139488089,(796) 3008514,lbeaver1k@wired.com,5853 Anderson Alley,18.1,Geologist IV,34804,25511,Babbleopia,CU,Amancio,3546422701914666,jcb,15/12/1997,23/11/2012,"€23470,33"
58,Dominick,Condon,Dominick Condon,Ranna Ferrant,589320860036838854,3540315827959704,(959) 3651736,taggott1l@barnesandnoble.com,841 Armistice Park,30.1,Statistician III,34804,60710,Babbleopia,PH,Carot,3540480437840726,jcb,09/09/1990,05/07/2006,"€88353,20"
59,Floyd,Leifer,Floyd Leifer,Danya Cardoe,3583303300400139,50204877909776254,(272) 8106753,cferryn1m@dailymail.co.uk,4594 Dapin Center,20.9,Dental Hygienist,26061,83435,Gigabox,CN,Hanshou,5602252499863346,bankcard,08/07/1996,30/11/2004,"€87387,63"
60,Harli,Haggidon,Harli Haggidon,Killian Blasius,5602240483376763,3554811707144766,(376) 5265787,rduffyn1n@vimeo.com,86422 Manley Hill,7.6,Speech Pathologist,19838,60236,Jetwire,BG,Stamboliyski,3582570693233845,jcb,14/06/1994,23/10/2020,"€45491,24"
61,Corrina,Birtle,Corrina Birtle,Leann Bannerman,3528560948078647,5234246133282703,(638) 9968886,jlowy1o@bigcartel.com,4032 Petterle Trail,38.5,Electrical Engineer,04281,90280,Thoughtblab,PT,São João de Caparica,3553767402081979,jcb,10/06/1990,08/01/2008,"€62806,88"
62,Helyn,Thorowgood,Helyn Thorowgood,Dorita Banck,3556226438197959,633110335225238604,(690) 5986472,ebruun1p@wikipedia.org,04096 Sloan Place,24.2,Biostatistician II,42442,42331,Voonte,PL,Skała,337941865987910,americanexpress,06/10/1993,30/06/2000,"€37114,17"
63,Emmye,Cockshutt,Emmye Cockshutt,Bernita Danko,4175003397482733,3552018035214061,(205) 3218795,welam1q@goodreads.com,7877 Dayton Road,17.9,Web Designer IV,53774,17575,Riffpath,RU,Vladivostok,6331101456427935924,switch,11/06/1991,16/04/2043,"€46877,04"
64,Joyan,Griffin,Joyan Griffin,Floyd Leifer,3544787124842328,3583303300400139,(422) 4295616,eproudlove1r@admin.ch,96304 Steensland Terrace,43.4,Senior Developer,98168,26061,Devshare,VN,Quảng Ngãi,4913261425507882,visa-electron,22/02/1991,17/08/2014,"€9435,31"
65,Innis,Lofting,Innis Lofting,Beilul Kluge,3549238301948327,3549549761251139,(260) 5188272,edemicoli1s@ovh.net,2691 Acker Circle,26.6,Junior Executive,09276,03905,Tagopia,UA,Preobrazhenka,3552812214223590,jcb,18/10/1992,28/06/2045,"€93425,87"
66,Dominick,Condon,Dominick Condon,Erna Bechley,589320860036838854,67098109037531275,(754) 2220479,elindhe1t@mtv.com,109 Almo Crossing,1.5,Account Representative II,34804,63697,Babbleopia,RU,Promyshlennovskiy,4903698335399045,switch,09/11/1994,27/10/2041,"€46322,39"
67,Bernadina,Bushell,Bernadina Bushell,Hurley Debill,6771140717017813650,6331107062193610,(116) 8028402,cbarrass1u@answers.com,204 Elmside Junction,40.4,Web Developer II,33327,62705,Linktype,CN,Shuanglu,5602239558229766,bankcard,25/08/1997,12/02/2012,"€12316,59"
68,Corrina,Birtle,Corrina Birtle,Kitti Eliesco,3528560948078647,4041379965258503,(958) 6952866,kroskelley1v@mashable.com,2 Pearson Plaza,4.6,Professor,04281,63761,Thoughtblab,SE,Södertälje,5579808527358457,mastercard,28/10/1995,05/03/2014,"€29100,48"
69,Reiko,Webster,Reiko Webster,Rancell Bromehed,561011696668853925,201610837989824,(584) 1164602,rhellmer1w@yelp.com,94125 Mockingbird Place,27.6,Junior Executive,01388,34541,Oyoyo,CN,Huwan,3588447461441476,jcb,16/10/1998,19/08/2035,"€79039,47"
70,Chanda,Suddock,Chanda Suddock,Marissa Sackler,6333894206703259,3544737614355828,(202) 4957329,mabrahamsohn1x@joomla.org,10 Iowa Avenue,23.6,Structural Engineer,32785,56468,Gabtune,BR,Mendes,342718364564702,americanexpress,09/05/1992,10/10/2040,"€80074,46"
71,Pietrek,Brehaut,Pietrek Brehaut,Beilul Kluge,6331109225401786005,3549549761251139,(641) 3230252,wlestrange1y@gmpg.org,750 Dryden Lane,4.8,VP Product Management,42304,03905,Topicblab,BR,Telêmaco Borba,337941819047357,americanexpress,05/12/1991,04/02/2029,"€19539,03"
72,Torie,Pickersgill,Torie Pickersgill,Hunter Coldbath,3588060212468043,3529623116687729,(173) 8412071,hcripps1z@who.int,3447 Loftsgordon Alley,38.5,Recruiter,91555,41737,Flashpoint,CA,Kelowna,3569660766253130,jcb,20/11/1998,09/09/2023,"€19771,47"
73,Abbey,Chadderton,Abbey Chadderton,Corrina Birtle,5641825051827285109,3528560948078647,(505) 4769370,mmollatt20@un.org,8095 3rd Terrace,28.1,Tax Accountant,74341,04281,Brightdog,GT,Santa Lucía Cotzumalguapa,6767420368193577898,solo,25/04/1991,16/10/2034,"€78410,35"
74,Tessa,De Lascy,Tessa De Lascy,Hurley Debill,4405873188663168,6331107062193610,(854) 3755926,mclifft21@hugedomains.com,29 Lake View Park,46.7,Senior Sales Associate,40424,62705,Demimbu,ZM,Chipata,5602257696233631,bankcard,03/08/1991,02/03/2016,"€69451,37"
75,Kippy,Moncreiffe,Kippy Moncreiffe,Berkly Thorlby,201815208593119,3559735495406571,(304) 6022480,acrumby22@webs.com,18515 Quincy Hill,31.1,Developer II,04611,26135,Fatz,NI,La Paz Centro,375169651940512,americanexpress,27/12/1996,19/08/2001,"€27399,38"
76,Beilul,Kluge,Beilul Kluge,Pietrek Brehaut,3549549761251139,6331109225401786005,(194) 3675183,lfranceschielli23@marriott.com,6 Burning Wood Street,45.2,Staff Scientist,03905,42304,Einti,PL,Grodków,3547938680199937,jcb,21/02/1991,18/03/2029,"€23214,36"
77,Dominick,Condon,Dominick Condon,Rab Faulconer,589320860036838854,4724318333227,(380) 1638918,lpiller24@ebay.co.uk,1 Susan Junction,6.6,Graphic Designer,34804,22131,Babbleopia,PL,Komorów,3545543009701702,jcb,06/12/1993,16/07/2031,"€40556,87"
78,Florencia,Smallpiece,Florencia Smallpiece,Normie Passe,3556237449712322,3558167265721081,(727) 3326488,mmallam25@cargocollective.com,04 Stoughton Street,25.7,Nuclear Power Engineer,64001,40643,Dabjam,CN,Libu,201841822842054,diners-club-enroute,07/11/1990,14/06/2034,"€17508,23"
79,Grover,Banham,Grover Banham,Grover Banham,3532949449887552,3532949449887552,(754) 8894227,gcourtin26@merriam-webster.com,0753 Dottie Street,31.7,Environmental Specialist,23323,23323,Skipstorm,ID,Krajan,6771385709672850,laser,03/03/1998,13/10/2033,"€34935,60"
80,Les,Rodders,Les Rodders,Brig Pessel,3547600677966740,676264278424339794,(422) 4327568,mrunge27@webmd.com,32371 Old Shore Place,2.2,Administrative Officer,54519,55897,Jaxnation,PH,Calasgasan,4911687892229455,switch,21/04/1995,03/11/2028,"€87191,23"
81,Ardis,Fuzzens,Ardis Fuzzens,Timofei Antonetti,3559358869021890,3572089483558610,(627) 4666554,jkilborn28@adobe.com,929 5th Avenue,7.2,Recruiting Manager,73658,23991,Voolith,UG,Bugembe,3544597075656753,jcb,04/02/1991,27/12/2031,"€24447,38"
82,Abbey,Chadderton,Abbey Chadderton,Isabella Loddon,5641825051827285109,3586353314092825,(778) 8699460,ebarlie29@purevolume.com,6410 Coleman Point,3.1,Senior Quality Engineer,74341,77204,Brightdog,PT,Mirões,3567701508548551,jcb,17/10/1993,09/06/2038,"€88023,14"
83,Chrysa,Elmer,Chrysa Elmer,Harli Haggidon,372301416770784,5602240483376763,(416) 3941561,sdampney2a@pbs.org,94 Summer Ridge Pass,16.5,Geological Engineer,47845,19838,Linkbridge,PT,Outeiro de Polima,30373486880474,diners-club-carte-blanche,08/07/1992,05/06/2024,"€20123,97"
84,Isabella,Loddon,Isabella Loddon,Liam Tetley,3586353314092825,5602217658731048,(970) 5381337,rmckechnie2b@fastcompany.com,6 Lindbergh Junction,47.5,VP Quality Control,77204,63876,Ooba,JM,Port Antonio,30420987688805,diners-club-carte-blanche,08/04/1998,26/09/2024,"€65306,40"
85,Kippy,Moncreiffe,Kippy Moncreiffe,Hurley Debill,201815208593119,6331107062193610,(565) 2714855,mbrightwell2c@blogs.com,2 Weeping Birch Trail,19.5,Chemical Engineer,04611,62705,Fatz,MY,Kuala Lumpur,3574409359471169,jcb,07/01/1991,17/07/2046,"€13472,50"
86,Harli,Haggidon,Harli Haggidon,Noell Dutton,5602240483376763,374283042606830,(998) 4567699,jtousey2d@sfgate.com,3427 Nova Drive,3.4,Administrative Officer,19838,34683,Jetwire,FR,Andrézieux-Bouthéon,3578814387483118,jcb,06/09/1997,01/06/2015,"€64574,96"
87,Gerhardt,Roskams,Gerhardt Roskams,Grover Banham,3579742871832012,3532949449887552,(385) 3900219,jthorlby2e@noaa.gov,4 Dennis Circle,8.9,Database Administrator I,78338,23323,Mynte,MA,Amizmiz,374288777241174,americanexpress,09/12/1990,07/12/2044,"€69813,32"
88,Tadd,Hairon,Tadd Hairon,Alissa Armsby,3582920874629420,5602231731668754,(933) 9741246,klaurisch2f@drupal.org,794 Heffernan Plaza,40.7,Pharmacist,62963,88772,Blognation,CN,Jiaoba,3534305084851312,jcb,19/03/1997,04/03/2045,"€78207,43"
89,Thane,Kopman,Thane Kopman,Bernita Danko,5247211973609618,3552018035214061,(606) 1133711,jbarti2g@symantec.com,9086 Schlimgen Place,4.7,GIS Technical Architect,21965,17575,Browsedrive,BY,Vidzy,3528698130992256,jcb,20/06/1991,02/09/2032,"€17748,43"
90,Cyrus,Kiffin,Cyrus Kiffin,Grover Banham,633303471187926311,3532949449887552,(414) 3917818,zkeast2h@virginia.edu,5877 Bunker Hill Parkway,12.7,Human Resources Assistant IV,33276,23323,Meedoo,BR,Itinga,3548652492106332,jcb,04/05/1998,17/03/2040,"€37388,77"
91,Norri,Feldhorn,Norri Feldhorn,Inge Boxe,3556214564456597,3588355529014617,(754) 5538299,tscopyn2i@qq.com,54450 Swallow Road,26.6,Programmer II,08268,23896,Edgewire,ID,Ketanggi,371720766128510,americanexpress,18/05/1995,05/07/2019,"€80438,52"
92,Cyrus,Kiffin,Cyrus Kiffin,Chanda Suddock,633303471187926311,6333894206703259,(331) 5658225,dvenable2j@multiply.com,1970 Village Green Pass,23.5,Sales Representative,33276,32785,Meedoo,PL,Frydrychowice,3588163972973861,jcb,16/11/1991,31/12/2038,"€76858,15"
93,Kirbee,Battram,Kirbee Battram,Kathrine Morillas,3552724985902379,4026132191408015,(778) 7084159,mblaylock2k@webeden.co.uk,9074 4th Center,38.8,Structural Engineer,21497,94553,Skivee,CN,Fenghua,3567553127991906,jcb,17/05/1995,10/10/2007,"€89527,69"
94,Harley,Rubertelli,Harley Rubertelli,Katharyn Linskill,6761758943577482553,3553147138413780,(193) 9342242,vhacon2l@simplemachines.org,0561 Kinsman Terrace,32.5,Associate Professor,44418,12057,Topicware,PH,Pidsandawan,5232537623033453,mastercard,18/04/1998,27/01/2003,"€78229,67"
95,Titos,Sore,Titos Sore,Ruthann Brader,3565959759068172,5100138594646487,(690) 9012290,cfouch2m@engadget.com,06 Bonner Lane,16.5,Research Assistant I,29111,51207,Pixoboo,CN,Yichun,3548743365275880,jcb,19/05/1994,27/09/2002,"€70920,10"
